#GPSstart GPSend GMSTstart GMSTend
1126073342.0 1126086553.0 36123.48311944416 36124.446480869694
1126088363.0 1126098729.0 36124.57846816664 36125.334368894764
1126099994.0 1126111138.0 36125.42661416168 36126.2392475515
1126164541.0 1126165915.0 36130.13345618317 36130.23364985434
1126256591.0 1126264691.0 36136.845848825986 36137.43651021026
1126301023.0 1126301382.0 36140.0858817455 36140.112060440246
1126301535.0 1126302050.0 36140.123217378605 36140.160771774
1126302126.0 1126304365.0 36140.16631378132 36140.32958425577
1126304448.0 1126307497.0 36140.33563671138 36140.55797332366
1126308522.0 1126364087.0 36140.63271751357 36144.68458168865
1126400448.0 1126401453.0 36147.33606793481 36147.40935369772
1126401543.0 1126410042.0 36147.4159166016 36148.035673528764
1126414891.0 1126414953.0 36148.389268227416 36148.3937893382
1126415040.0 1126420940.0 36148.400133479794 36148.83036831406
1126423475.0 1126425848.0 36149.015223451715 36149.188265361205
1126552535.0 1126552974.0 36158.42642817407 36158.458440562135
1126553006.0 1126553627.0 36158.46077404122 36158.50605807857
1126553653.0 1126555046.0 36158.507954030145 36158.6095332046
1126555086.0 1126603333.0 36158.612450049804 36162.130677185334
1126626009.0 1126627282.0 36163.78423737652 36163.87706601249
1126627298.0 1126628100.0 36163.87823275055 36163.93671551937
1126643296.0 1126645233.0 36165.04482544578 36165.18607372949
1126645244.0 1126645392.0 36165.18687586376 36165.19766819536
1126645699.0 1126645794.0 36165.2200549899 36165.22698250053
1126645803.0 1126675574.0 36165.22763879033 36167.39857460289
1126686546.0 1126691334.0 36168.19866555399 36168.547812059696
1126730166.0 1126731309.0 36171.37948648828 36171.46283537224
1126731655.0 1126731926.0 36171.488066094134 36171.50782772947
1126732033.0 1126733225.0 36171.51563029218 36171.60255231406
1126736678.0 1126771420.0 36171.85434907304 36174.38777596428
1126787376.0 1126788161.0 36175.55130596986 36175.60854907982
1126791061.0 1126821941.0 36175.820020439736 36178.07182581564
1126829345.0 1126832426.0 36178.61173407307 36178.83640416443
1126832486.0 1126835921.0 36178.84077943369 36179.09126361306
1126837038.0 1126849861.0 36179.17271654544 36180.10778456237
1126868784.0 1126873675.0 36181.48767164538 36181.844329033695
