GPSstart	GPSend	GMSTstart	GMSTend
1238166018.0	1238170549.0	39719.914896872535	39720.06024970227
1238170954.0	1238172929.0	39720.073241954764	39720.13659923543
1238172987.0	1238196793.0	39720.13845985431	39720.90214766377
1238198080.0	1238215142.0	39720.94343415502	39721.49077690076
1238227174.0	1238232306.0	39721.87675907851	39722.041391769344
1238235751.0	1238239667.0	39722.15190611462	39722.27752996835
1238245131.0	1238252455.0	39722.452813098265	39722.68776435075
1238290519.0	1238292971.0	39723.908843607205	39723.98750287415
1238292998.0	1238308337.0	39723.988369024315	39724.4804385576
1238318337.0	1238344470.0	39724.80123491543	39725.63957203736
1238350866.0	1238357139.0	39725.84475338783	39726.0459889431
1238368387.0	1238374369.0	39726.406820686396	39726.59872106765
1238383560.0	1238383899.0	39726.89356500014	39726.904439996666
1238384700.0	1238412533.0	39726.930135784925	39727.82300828769
1238412673.0	1238440687.0	39727.827499436695	39728.726178353536
1238450550.0	1238479684.0	39729.042579801266	39729.97718791018
1238480945.0	1238519915.0	39730.0176403309	39731.267783737385
1238528523.0	1238535532.0	39731.54392524221	39731.76877140941
1238538791.0	1238538970.0	39731.87331894243	39731.879061197236
1238543229.0	1238543356.0	39732.01568836604	39732.01976247979
1238546544.0	1238555462.0	39732.12203235866	39732.40811855058
1238561172.0	1238619975.0	39732.5912932709	39734.477672093875
1238633668.0	1238636182.0	39734.91693854666	39734.99758675102
1238636322.0	1238672700.0	39735.002077900026	39736.16907089056
1238672772.0	1238687597.0	39736.171380624335	39736.646961224826
1238691231.0	1238697794.0	39736.763538621264	39736.974077270905
1238700880.0	1238724601.0	39737.073075026936	39737.834036067354
1238725606.0	1238758204.0	39737.86627610132	39738.91200806858
1238758276.0	1238773286.0	39738.91431780236	39739.39583313547
1238773470.0	1238775952.0	39739.40173578846	39739.48135744447
1238775984.0	1238785197.0	39739.482383992814	39739.77793367729
1238790677.0	1238791932.0	39739.95373008138	39739.99399002429
1238792260.0	1238819101.0	39740.00451214483	39740.86556164889
1238819843.0	1238833576.0	39740.88936473864	39741.32991437685
1238834630.0	1238856499.0	39741.36372631297	39742.06527586792
1238908060.0	1238908158.0	39743.71933396855	39743.722477772855
1238908201.0	1238910359.0	39743.7238571972	39743.79308505121
1238918962.0	1238930392.0	39744.06906615786	39744.435736394866
1238938360.0	1238942103.0	39744.691346932785	39744.81142100952
1238955200.0	1238959424.0	39745.23156799938	39745.36707238093
1238966517.0	1238971467.0	39745.59461323754	39745.75340743467
1238973057.0	1238979204.0	39745.804414055565	39746.00160757673
1238981086.0	1238987166.0	39746.06198145127	39746.257025636834
1238990514.0	1238993507.0	39746.36442825744	39746.460442607335
1238993549.0	1238995065.0	39746.46178995204	39746.51042267989
1238996638.0	1239007189.0	39746.56088394697	39746.89935618413
1239009856.0	1239010368.0	39746.98491257276	39747.00133734628
1239010425.0	1239044583.0	39747.00316588552	39748.09894208461
1239059786.0	1239083006.0	39748.58664878743	39749.33153793032
1239087140.0	1239103228.0	39749.46415514465	39749.980252325135
1239103364.0	1239106302.0	39749.9846151556	39750.07886512553
1239127044.0	1239140924.0	39750.74426093095	39751.18952627562
1239149500.0	1239153689.0	39751.4646412321	39751.5990228264
1239153848.0	1239201390.0	39751.60412348849	39753.129253532905
1239201471.0	1239208793.0	39753.1318519834	39753.36673907661
1239213615.0	1239232125.0	39753.521427080355	39754.11522113871
1239244940.0	1239253498.0	39754.52632167128	39754.80085919431
1239263053.0	1239288926.0	39755.10738011422	39755.93737653085
1239295624.0	1239318836.0	39756.15224593132	39756.896878437125
1239322378.0	1239341782.0	39757.010504507074	39757.632977759815
1239348722.0	1239398850.0	39757.855610432154	39759.46369841471
1239430170.0	1239430250.0	39760.46843260744	39760.4709989783
1239430804.0	1239449340.0	39760.48877109653	39761.08339922541
1239449412.0	1239461138.0	39761.08570895919	39761.461874768385
