GPSstart	GPSend	GMSTstart	GMSTend
1256663443.0	1256679418.0	40313.305553804035	40313.818025985674
1256682796.0	1256686818.0	40313.92639099535	40314.05541529047
1256688786.0	1256705153.0	40314.1185480137	40314.64359541256
1256710426.0	1256746767.0	40314.81275133205	40315.97855737605
1256746930.0	1256750703.0	40315.983786356686	40316.1048228225
1256751337.0	1256770339.0	40316.12516131159	40316.734738550746
1256771871.0	1256774649.0	40316.783884552766	40316.87300178097
1256774748.0	1256838392.0	40316.87617766491	40318.917854004714
1256840250.0	1256886272.0	40318.977457968	40320.453826966026
1256886276.0	1256902656.0	40320.45395528457	40320.9794197187
1256902750.0	1256926820.0	40320.98243520447	40321.754592037774
1256927025.0	1256939438.0	40321.761168363104	40322.15937288209
1256954047.0	1256970603.0	40322.62802428125	40323.15913473128
1256970733.0	1256977247.0	40323.16330508393	40323.372271831424
1256977384.0	1257002021.0	40323.376666741526	40324.16701272832
1257002690.0	1257004997.0	40324.18847400466	40324.262481724414
1257029410.0	1257070964.0	40325.04564187279	40326.378679058136
1257071316.0	1257109239.0	40326.389971089935	40327.60652711775
1257121340.0	1257148857.0	40327.99472279037	40328.87745812822
1257149047.0	1257159687.0	40328.88355325902	40329.22488058375
1257159870.0	1257185381.0	40329.230751157105	40330.049134745575
1257194399.0	1257196326.0	40330.33842890107	40330.400246359226
1257199600.0	1257246399.0	40330.505275086776	40332.006569961806
1257250973.0	1257272605.0	40332.153302215884	40332.847248897146
1257272877.0	1257288819.0	40332.85597455808	40333.36738811174
1257288867.0	1257294706.0	40333.36892793426	40333.556240927595
1257294752.0	1257295737.0	40333.55771659085	40333.58931503209
1257295774.0	1257296604.0	40333.590501978615	40333.617128076316
1257296641.0	1257300198.0	40333.61831502284	40333.73242228732
1257300265.0	1257305215.0	40333.73457162292	40333.89336582005
1257305477.0	1257321494.0	40333.90177068462	40334.41559021096
1257327978.0	1257380922.0	40334.623594569384	40336.322018806306
1257386708.0	1257388099.0	40336.50763157895	40336.55225435232
1257388150.0	1257405977.0	40336.55389041374	40337.12577408086
1257416624.0	1257422764.0	40337.46732596304	40337.664294926755
1257422793.0	1257448899.0	40337.66522523619	40338.50269620796
1257454753.0	1257465866.0	40338.69049039583	40339.04699138829
1257466536.0	1257543132.0	40339.06848474427	40341.525656526734
1257543340.0	1257544811.0	40341.53232909098	40341.579518235216
1257551712.0	1257571585.0	40341.800899801754	40342.43841840368
1257572920.0	1257608745.0	40342.481244717455	40343.630497669394
1257634739.0	1257636589.0	40344.464375721946	40344.52372304815
1257643996.0	1257657379.0	40344.76133691039	40345.19065867609
1257657505.0	1257698798.0	40345.19470071019	40346.5193651106
1257706053.0	1257713881.0	40346.75210286821	40347.003222257124
1257724228.0	1257757284.0	40347.335150248575	40348.39557468903
1257761673.0	1257784664.0	40348.53637221048	40349.27391511678
1257800073.0	1257802443.0	40349.76823022457	40349.84425896138
1257807043.0	1257809305.0	40349.99182528598	40350.06438942212
1257811313.0	1257831360.0	40350.12880533077	40350.77190578933
1257831453.0	1257834631.0	40350.774889195454	40350.876838277974
1257839632.0	1257871638.0	40351.03726853652	40352.06400935941
1257900318.0	1257924798.0	40352.98405331368	40353.769362797655
1257962248.0	1257967650.0	40354.97074515775	40355.14403935025
1257978163.0	1258068692.0	40355.48129256124	40358.38542990908
1258069525.0	1258140427.0	40358.412152245684	40360.686662582004
1258153039.0	1258184704.0	40361.091250948506	40362.10705261559
1258184806.0	1258213589.0	40362.11032473844	40363.033672895195
1258242592.0	1258243244.0	40363.96407857182	40363.98499449435
1258243302.0	1258259698.0	40363.986855113224	40364.51283282153
1258269373.0	1258288246.0	40364.82320329774	40365.428642263876
1258288293.0	1258318808.0	40365.43015000676	40366.409060092694
1258326898.0	1258330545.0	40366.66858434618	40366.78557877788
1258330892.0	1258331691.0	40366.796710411494	40366.82234204049
1258331831.0	1258332509.0	40366.8268331895	40366.84858318256
1258339983.0	1258342246.0	40367.088346380406	40367.16094259618
1258342339.0	1258409539.0	40367.16392600231	40369.31967752696
1258415638.0	1258416932.0	40369.5153312256	40369.5568422743
1258417739.0	1258430464.0	40369.58273054038	40369.99094390572
1258430517.0	1258479584.0	40369.992644126425	40371.56669561541
1258486285.0	1258498085.0	40371.78166125479	40372.16020095704
1258499897.0	1258537649.0	40372.21832925708	40373.42939966718
1258543194.0	1258545152.0	40373.60728124759	40373.670093174456
1258545160.0	1258580157.0	40373.670349811546	40374.793040825054
1258586563.0	1258592484.0	40374.99854297189	40375.18848649536
1258599533.0	1258622487.0	40375.414615848	40376.15097180777
