#GPSstart GPSend GMSTstart GMSTend
1164600796.0 1164604307.0 38932.949701249374 38933.205727439
1164664646.0 1164665296.0 38937.605717223254 38937.65311597739
1164667196.0 1164667800.0 38937.791666178215 38937.83571055672
1164683452.0 1164686894.0 38938.977072532994 38939.22806716063
1164686978.0 1164700285.0 38939.23419253699 38940.20455439394
1164700371.0 1164710983.0 38940.210825614755 38940.984664947406
1164711301.0 1164720689.0 38941.00785387621 38941.69243771376
1164736109.0 1164737113.0 38942.816881979124 38942.89009482127
1164737230.0 1164740204.0 38942.89862659748 38943.115494123194
1164753652.0 1164755132.0 38944.09613786346 38944.204061176584
1164755242.0 1164756097.0 38944.21208250452 38944.2744300943
1164756278.0 1164756398.0 38944.28762882576 38944.296379364256
1164756505.0 1164756770.0 38944.30418192698 38944.3235060348
1164757095.0 1164758203.0 38944.34720541187 38944.42800205445
1164769702.0 1164770018.0 38945.266522455975 38945.28956554324
1164770145.0 1164776579.0 38945.298826530016 38945.76800126592
1164777977.0 1164782047.0 38945.8699450442 38946.1667341604
1164786172.0 1164791079.0 38946.46753393911 38946.82535806256
1164791282.0 1164793478.0 38946.840161059605 38947.00029592363
1164811952.0 1164812491.0 38948.34744140509 38948.38674591053
1164815676.0 1164816998.0 38948.61899979939 38948.71540157328
1164817017.0 1164818182.0 38948.71678707364 38948.80174022318
1164820071.0 1164823070.0 38948.93948829267 38949.158178846264
1164823146.0 1164825365.0 38949.16372085359 38949.32553290691
1164825425.0 1164826379.0 38949.32990817615 38949.399474959624
1164828755.0 1164829601.0 38949.572735634334 38949.634426934324
1164829658.0 1164833253.0 38949.63858343835 38949.90073500435
1165066621.0 1165071622.0 38966.91819993236 38967.28287864861
1165116072.0 1165116239.0 38970.524224144814 38970.53640197972
1165116670.0 1165117344.0 38970.56783099874 38970.61697986001
1165117370.0 1165136319.0 38970.61887580864 38972.00065884324
1165142536.0 1165142571.0 38972.45400968554 38972.45656192692
1165142623.0 1165155683.0 38972.46035382713 38973.41270415585
1165155711.0 1165161123.0 38973.41474594895 38973.80939526016
1165161143.0 1165171827.0 38973.810853681294 38974.58994334115
1165171922.0 1165178869.0 38974.596870851776 38975.10345413862
1165178910.0 1165191024.0 38975.1064439075 38975.9898108218
1165191086.0 1165191419.0 38975.99433193257 38976.01861467868
1165191481.0 1165192467.0 38976.023135789466 38976.09503605201
1165193311.0 1165197631.0 38976.15658151046 38976.471600917175
1165207624.0 1165208522.0 38977.20030205401 38977.265785254196
1165209610.0 1165211014.0 38977.34512347564 38977.447504781434
1165221253.0 1165226051.0 38978.19414452278 38978.54402024199
1165229999.0 1165230438.0 38978.831912975234 38978.863925363294
1165232738.0 1165234254.0 38979.03164402776 38979.14219250594
1165237669.0 1165240617.0 38979.39121826125 38979.60618983833
1165309002.0 1165309290.0 38984.59290326511 38984.613904559286
1165341122.0 1165343066.0 38986.93513087712 38987.07688960912
